Date,NAV
15-11-2017,8.95
16-11-2017,9.02
17-11-2017,8.94
20-11-2017,8.93
21-11-2017,8.90
22-11-2017,8.95
24-11-2017,8.98
27-11-2017,8.89
28-11-2017,9.00
29-11-2017,8.90
30-11-2017,8.89
01-12-2017,8.83
04-12-2017,8.68
05-12-2017,8.68
06-12-2017,8.64
07-12-2017,8.77
08-12-2017,8.88
11-12-2017,8.93
12-12-2017,8.88
13-12-2017,8.94
14-12-2017,8.99
15-12-2017,9.03
18-12-2017,9.14
19-12-2017,9.08
20-12-2017,9.12
21-12-2017,9.14
22-12-2017,9.15
26-12-2017,9.15
27-12-2017,9.24
28-12-2017,9.28
29-12-2017,9.29
02-01-2018,9.42
03-01-2018,9.40
04-01-2018,9.33
05-01-2018,9.39
08-01-2018,9.52
09-01-2018,9.48
10-01-2018,9.48
11-01-2018,9.66
12-01-2018,9.62
16-01-2018,9.58
17-01-2018,9.56
18-01-2018,9.57
19-01-2018,9.57
22-01-2018,9.59
23-01-2018,9.57
24-01-2018,9.52
25-01-2018,9.57
26-01-2018,9.55
29-01-2018,9.57
30-01-2018,9.57
31-01-2018,9.57
01-02-2018,9.51
02-02-2018,9.36
05-02-2018,9.15
06-02-2018,9.01
07-02-2018,9.05
08-02-2018,8.89
09-02-2018,8.85
12-02-2018,8.96
13-02-2018,9.08
14-02-2018,9.19
15-02-2018,9.39
16-02-2018,9.42
20-02-2018,9.44
21-02-2018,9.46
22-02-2018,9.45
23-02-2018,9.44
26-02-2018,9.52
27-02-2018,9.44
28-02-2018,9.37
01-03-2018,9.32
02-03-2018,9.31
05-03-2018,9.32
06-03-2018,9.43
07-03-2018,9.40
08-03-2018,9.44
09-03-2018,9.50
12-03-2018,9.58
13-03-2018,9.58
14-03-2018,9.60
15-03-2018,9.56
16-03-2018,9.53
19-03-2018,9.58
20-03-2018,9.63
21-03-2018,9.67
22-03-2018,9.55
23-03-2018,9.44
26-03-2018,9.65
27-03-2018,9.62
28-03-2018,9.45
29-03-2018,9.46
02-04-2018,9.44
03-04-2018,9.55
04-04-2018,9.56
05-04-2018,9.67
06-04-2018,9.63
09-04-2018,9.71
10-04-2018,9.76
11-04-2018,9.77
12-04-2018,9.77
13-04-2018,9.73
16-04-2018,9.65
17-04-2018,9.68
18-04-2018,9.81
19-04-2018,9.84
20-04-2018,9.78
23-04-2018,9.69
24-04-2018,9.68
25-04-2018,9.60
26-04-2018,9.69
27-04-2018,9.86
30-04-2018,9.87
01-05-2018,9.82
02-05-2018,9.79
03-05-2018,9.76
04-05-2018,9.74
07-05-2018,9.85
08-05-2018,9.72
09-05-2018,9.78
10-05-2018,9.96
11-05-2018,9.91
14-05-2018,9.96
15-05-2018,9.95
16-05-2018,9.92
17-05-2018,9.92
18-05-2018,9.87
21-05-2018,9.97
22-05-2018,10.00
23-05-2018,9.93
24-05-2018,9.85
25-05-2018,9.72
29-05-2018,9.62
30-05-2018,9.67
31-05-2018,9.70
01-06-2018,9.66
04-06-2018,9.45
05-06-2018,9.33
06-06-2018,9.28
07-06-2018,9.24
08-06-2018,9.20
